City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,lupane,-18.9315,27.807,17.95,89,100,3.55,ZW,1712955624
58,punta arenas,-53.15,-70.9167,12.06,62,0,10.8,CL,1712955625
59,ebon,4.582,168.6964,27.38,80,100,3.74,MH,1712955625
60,newman,37.3138,-121.0208,25.16,50,32,6.26,US,1712955625
61,zhangatas,43.5667,69.75,9.22,54,100,4.06,KZ,1712955626
62,yellowknife,62.456,-114.3525,5.23,77,75,8.23,CA,1712955626
63,nashik,19.9833,73.8,22.67,53,8,0.58,IN,1712955626
64,fauske,67.2588,15.3918,6.02,99,100,2.65,NO,1712955626
65,luderitz,-26.6481,15.1594,19.37,58,0,2.13,NA,1712955627
66,ilhabela,-23.7781,-45.3581,24.1,88,8,2.87,BR,1712955627
67,murzuq,25.9155,13.9184,23.89,24,0,5.37,LY,1712955627
68,pisco,-13.7,-76.2167,26.03,65,0,9.77,PE,1712955627
69,grytviken,-54.2811,-36.5092,2.56,90,100,6.81,GS,1712955628
70,tsiombe,-25.3,45.4833,19.4,76,88,0.88,MG,1712955628
71,goure,13.9835,10.2704,30.37,10,100,2.35,NE,1712955628
72,minas de marcona,-15.2119,-75.1103,21.08,64,85,6.86,PE,1712955628
73,ancud,-41.8697,-73.8203,14.19,63,0,0.88,CL,1712955629
74,boromo,11.75,-2.9333,35.95,17,45,0.35,BF,1712955629
75,mount isa,-20.7333,139.5,9.87,81,1,0.0,AU,1712955630
76,anadyr,64.75,177.4833,-12.72,71,0,5.0,RU,1712955630
